യുണൈറ്റഡിന്	For United
കേ​ര​ള​ത്തി​നു	For Kerala
ജയം	Victory
വിനീത്	Vineeth
ഫോണ്‍	Phone
കാര്‍ലോസ്	Carlos
ബംഗ്ലാവിലെ	in the bungalow
പിന്തുണയ്ക്കുമോ	Will you support it?
ഈ​ടാ​ക്കി​യ	Charged
അനുഭവിക്കുന്നതാണ്	It's experienced
ക്ലെയിമുകള്‍ക്ക്	For claims
മെക്കാനിക്കല്‍	Mechanical
ബാംഗ്ലൂര്‍	Bangalore
ശരിക്കുമുള്ള	The real
ക​ണ്‍​സോ​ര്‍ഷ്യ​ത്തിലേക്ക്	To the Consortium
രാംചരണ്‍	Ram Charan
അകറ്റുന്നു	Removing
റോവര്‍	Rover
കപില്‍ദേവിനും	And Kapil Dev
ധവാന്‍	Dhawan
രൂപയെന്ന്	That's Rs.
ചീ​​​​ഫ്	Chief
ഫോര്‍മുല	Formula
ഇ​ല​ക്‌ട്രി​ക്	Electric
പ്രസിഡന്റുമായി	with the president.
ഏപ്രിലില്‍	In April
കാ​റ്റ്‌​ല​ന്‍	Catlan
വാട്‌സ്‌ആപ്	WhatsApp
മമ്മൂട്ടിയും	And Mammootty
കൂട്ടുകാര്‍	Friends.
പോസ്റ്ററുകള്‍	Posters
നിര്‍ഭയയുടെ	of Nirbhaya
ബാങ്കുകള്‍ക്കു	For the banks.
കണ്ടാലറിയാം	I'll see if I see it.
വിഘ്നേഷിന്റെ	Vignesh's
സം​​​സ്ഥാ​​​ന	State
ത്രില്ലര്‍	Thriller
സീറ്റുകള്‍	Seats
കാര്‍ഡ്	Card
ഇന്ത്യയല്ല	It's not India.
അല്ലേ	Isn't it
വിദ്യാഭ്യാസം	education
മക്കളെത്തി	The kids have arrived.
ഇതുവരെ	So far
വിവാഹച്ചടങ്ങില്‍	At the wedding ceremony
ഹിന്ദുവാണെന്ന്	that he is a Hindu.
അഭിനയിച്ചില്ല	Didn't act
ഊതിവീര്‍പ്പിച്ചത്	Inflated
യൂസുഫല	Yusufala
ആസ്ത്രേലിയ	Australia
പറ്റിക്കപ്പെടുന്നത്	Being deceived
ഓടിക്കയറി	Ran away
സിക്സില്‍	In a six
പൃഥ്വിരാജിന്റെ	Prithviraj's
അനുവദിക്കും	Will be allowed
അനിഘയാണ്	It's Anigha
എടുത്തില്ലെങ്കില്‍	If you don't take it
റെയില്‍‌വേ	Railways
സംയുക്തയുടെ	of the joint
താരങ്ങളോട്	To the stars
തന്നെയെന്ന്	That's him
എറിക്‌സന്	Eriksen
മാനെയും	And Mane
ഫ്‌ളൈറ്റുകള്‍ക്കു	For flights
അഡ്വര്‍ടൈസിംഗ്	Advertising
വൈകിയിരുന്നെങ്കില്‍	If it was late
ഭീകരാക്രമണത്തില്‍	In a terrorist attack
പഞ്ചനക്ഷത്ര	Five Star
മോ​ണ്ടി	Monty
ലോപ്പസിനെ	Lopez
നെറ്റിയിലെ	on the forehead
ലാപ്‌ടോപ്പുകളുമായി	with laptops.
സ്ഥിരനിയമനത്തിനു	For permanent appointment
കല്യാണിയുടെ	Kalyani's
ബോ​​​ര്‍​​​ഡി​​​ന്‍റെ	Board's
ഖവാജയും	And Khawaja
ക​ര്‍​ഷ​കനു	For the farmer
നഷ്ടമായത്	Lost
പൂജാരയെ	Pujara
ജെറ്റ്	Jet
വോണിന്റെ	Vaughan's
രുചി	Taste
അടിയന്തര	Emergency
വിജയ്‌	Vijay
പരിഗണനയില്‍	Under Consideration
ഗാനത്തില്‍	In the song
വൈഡ്	Wide
ബാക്കി	The rest
ഏറ്റുമുട്ടിയേക്കും	May clash
മോദിയേയും	and Modi.
കല്‍ക്കി	Kalki
കിന്‍ഫ്രയും	Kinfra and Kinfra
ഒരുക്കിയ	Prepared
കയ്യിലുണ്ടോ	Do you have it in your hand?
ഗാം​ഗുലി	Ganguly
സൗദിയില്‍	In Saudi Arabia
ബ്ലാസ്റ്റേഴ്‌സിന്റെ	Blasters
ചിത്രീകരണമാരംഭിക്കും	Filming will begin
ബച്ചനോടൊപ്പം	With Bachchan
ക്ലബ്ബ്‌	Club
വിലയ്‍ക്കെടുക്കാന്‍	To buy
ലൂക്ക	Luca
വിജയരഹസ്യം	The Secret to Success
വേഗത്തില്‍	Quickly
കാ​ണ​രു​ത്	Don't see.
സിറ്റിയെ	the city
ഫൗള്‍	Foul
സജീവമായി	Active
നല്‍കുന്ന	Providing
ജേതാവിനെ	The winner
വേണം	I want to
വരുമോ	Will you come?
തടവു	Imprisonment
തുഷാര്‍	Thushar
ദീര്‍ഘ	Long
നഷ്ടപ്പെടുത്തിയ	Lost
ഷര്‍ട്ടിന്	Shirtin
ടോക്	Talk
സിംഗിനും	Singh and
ശ്രീദേവി	Sridevi
ക്ലെയിം	Claim
കൊമ്ബുകോര്‍ത്തത്	Kombukoruth
ക്യാപ്റ്റന്‍സി	Captain C
റിഷാബ്	Rishabh
പിന്തുണച്ച്‌	In support of
അതിവേഗത്തില്‍	At a rapid pace
കിലോയായി	It's a kilo
പതിമൂന്ന്	thirteen
ഓസ്‌ട്രേലിയയുടെ	Australia's
സേവനം	Service
അടുത്ത	The next
അനുഷ്ക	Anushka
ടീമംഗങ്ങളും	and team members.
ലൂക്കയിലെ	In Luke's
കൂട്ടാക്കിരുന്നില്ല	He didn't agree
മറഡോണ	Maradona
പെണ്ണിന്	For the girl.
സീറ്റുകളില്‍	in the seats
ഇന്നിതാ	Today,
ധ്യാനും	and meditation
ശേഷമുള്ള	After
വായ്പാ	Loan
ഇറങ്ങിയിട്ടും	Even when you're down
മടക്കാവുന്ന	Foldable
ഇന്‍സ്റ്റഗ്രാം	Instagram
തെളിവുസഹിതം	With evidence
ഉപയോക്താക്കളുടെ	Of the users
ചെയ്തില്ലെങ്കില്‍	If you don't do it
കൂടാരം	Tent
നടപടി	Action
കണ്‍വെന്‍ഷന്‍	Convention
കമ്മിന്‍സിന്	Cummins
അത്ഭുപ്പെടുത്തി	Surprised
ദിനങ്ങളിലെ	in the days
അടിസ്ഥാനമാക്കിയുളള	Based on
ആകാശ	The Sky
ദുരിതാശ്വാസം	Relief
നിര്‍ണ്ണയിക്കുന്ന	Determining
ചുങ്കം	The toll
ഫുട‌്ബോളില്‍	In football
മാങ്ങാട്ടുപറമ്ബില്‍	In Mangattuparambil
ഫോബ്സിന്‍റെ	Forbes'
തന്റെ	his
കാശുകൊടുത്ത്	By paying for the money
കേശവന്‍	Kesavan
പദ്ധതിയെ	the project
സ്പോര്‍ട്ടിന്റെ	of the sport
വിശാല്‍	Vishal
എണ്ണവും	And the number
നീട്ടിവച്ചു	Postponed
ഫിക്സ‍ഡ്	Fixed
അരീനയില്‍	At the arena
അരീക്കോട്	Areekode
ഫോം	Form
തെരഞ്ഞെടുപ്പിനു	for the election.
പിടികിട്ടാപ്പുള്ളിയായ	An untraced man
ആസ്‌ട്രേലിയക്കെതിരായ	Against Australia
പരിഷ്കാരങ്ങളുമായി	with reforms
താരിഫ്	Tariffs
ആയി	as it is
ആര്‍മി	Army
സര്‍വേ	Survey
മഞ്ജറേക്കര്‍	Manjrekar
ഇടവേളയ്ക്ക്	For the break
വഴിയുള്ള	by the way
ചാനലുകളിലും	and on the channels.
കിട്ടിയ	Got it
അത്	That
മയം	Mayam
വ്യാപകമാക്കാന്‍	To expand
ആറടിച്ച്‌	Six feet
ഇഷ്ടം	Like it
ചോര്‍ത്തിയെന്ന്	That it was leaked
ഇ​റ​ക്കു​മ​തി	Import
ക​​മ്ബ​​നി	Company
മേരേ	Mere
സംഗീതനിശകള്‍ക്കും	For the musical nights
മീറ്റര്‍	Meter
ലോപസിന്റെ	Lopez's
അതിന്റെ	its
അതായിരിക്കും	That will be it.
25000ലേക്ക്	to 25,000
സജീവം	Active
പകരമായിരിക്കും	will be replaced
ബയേണും	Bayern and
ദിസ്	This is
ചെയ്യപ്പെട്ട	made
അനുവദിച്ചെന്ന്	Allowed to
സമ്ബത്ത്	Sampath
പങ്കെടുത്ത്	Participating in
എല്ലാ	All
സഹകരണ	Co-operative
ഉ​ട​മ​ക​ള്‍	Owners
ബെസോസ്	Bezos
ഗ്രാമങ്ങളുടെ	of the villages
കളിക്കാര്‍ക്ക്	For the players.
ഉറപ്പുവരുത്താന്‍	To make sure
ലോട്ടറിയുടെ	of the lottery
ബല്‍റാം	Balram
വില്ലി	Willy.
ഈറ്റ്‌സിനെ	Eatsin
കൂ​​​​ടു​​​​ത​​​​ല്‍	More
ശ്രമമെന്ന്	That's an attempt
ശതമാനത്തിനടുത്ത്	Close to percent
അ​മേ​രി​ക്ക​ന്‍	American
ശ്രീശാന്ത്‌	Sreesanth
കുഞ്ഞബ്ദുള്ള	Kunjabdulla
അവതാരകയുടെ	The presenter's
എയര്‍വെയ്‌സ്	Airways
ഗ്ലൂക്കോമീറ്റര്‍	Glucometer
നി​​​​ര്‍​​​​മാ​​​​താ​​​​ക്ക​​​​ളാ​​​​യ	The producers
ഉയര്‍ന്നതായി	It's high
പ്രവര്‍ത്തനമാരംഭിച്ചു	Started operations
റാഞ്ചിപ്പറക്കാന്‍	To fly to Ranchi
ഓടെ	By
അതൊന്നും	None of that.
ഇളവുകളില്‍	In concessions
യൂസഫലിക്ക്	Yusuff Alique
തുറന്നു	Opened
ടാ	Ta
കൗ​ണ്‍​	Council
മുരളി	Murali
ട്രോളന്മാര്‍ക്കെതിരെ	Against trolls
കോളേജിയേറ്റ്	Collegiate
പോരില്‍	In battle
ഒക്ടോബറില്‍	In October.
ഹെര്‍	Herr
ചര്‍ച്ച	Discussion
ഒതുക്കുങ്ങലില്‍	In the throes of
പുറത്തിറക്കി	Released
പ്രായത്തില്‍	In age
ഈടായി	As collateral
തീയറ്ററുകളില്‍	In theaters.
ബെംഗളൂരുവിനെ	Bengaluru
പരീക്ഷണത്തിനൊരുങ്ങി	Ready for testing
നീതയ്ക്കൊരു	One for Nita
കൈവശപ്പെടുത്തിയില്ല	Not occupied
കൊള്ളാം	Oh great
എത്തുന്നു	Arriving
വര്‍ഷത്തിനിടയില്‍	During the course of the year
തമ്മിലടി	Fighting between
തൊ​ഴി​ലാ​ളി​ക​ള്‍​ക്ക്	For the workers
ആ​രും	No one
ഇളക്കിമറിക്കാന്‍	To stir
യുവെന്റസ്	Juventus
സഹികെട്ട്	Tolerate
നോട്ടമിട്ട്	Looking at
തമാശ	Funny
യൂണൈറ്റഡിന്‍റെ	Of The United
സംഭവിച്ചതോ	What happened?
തിരിച്ചെത്തുന്നതായി	Coming back
കോ​ള	Cola
ബിഗ്‌ബിയും	Big B and
ഹെലികോപ്‌ടര്‍	Helicopter
ഷ​ന്‍​	Shan
തൊഴിലന്വേഷകരാണുള്ളതെന്ന്	That there are job seekers.
കാത്തിരുന്ന	Waiting
അമ്മയും	And her mother.
മകന്റെ	of the son
ജില്ലാ	District
ഇതിഹാസങ്ങളെ	The legends
ബാറ്റ്സ്‌മാന്‍	Batsman
തീയറ്ററില്‍	In the theater.
ജഡ്ജിയമ്മാവന്റെ	The judge's uncle
പോകുന്നതാണ്	It's going to go.
ഗോളുകള്‍	Goals
ദില്ലിയൊരുങ്ങി	Delhi is getting ready
കടകളില്‍	In the shops.
വാഹനത്തിന്റെ	of the vehicle
ആഭ്യന്തര	Domestic
ഭാഷയില്‍	in the language
നീയെന്തിനാ	Why are you
ഫോക്​സ്​വാഗണ്	Volkswagen
അമേരിക്കയുടെ	America's
അമഡ്യൂസ്	Amadeus
പകരക്കാരനെ	The Substitute
അവര്‍ക്കിടയില്‍	Between them.
ആസ്‌ത്രേലിയ	Australia
ബൗളര്‍മാര്‍	The bowlers
മത്സരങ്ങള്‍ക്കുള്ള	For the matches
കിടക്കുന്ന	Lying down
തകര്‍ക്കുവാനാവാതെ	Unable to break
വ്യോമാക്രമണം	Air strikes
വ​നി​ത​ക​ള്‍	Women
ഫോട്ടോഗ്രാഫ്	Photograph
22ന്	on the 22nd.
സര്‍ക്കാരില്‍	in the government.
ധരിച്ച	Worn
പടം	Picture
റെക്കോര്‍ഡില്‍	On the record
ചേരാന്‍	To join
ചിത്രലഹരിയുടെ	Chitralahari's
